objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,https://clockforaheart.github.io/pictures/nd.JPG,The Mistery of the Ivory Charm,"Keene, Carolyn",1936,Blue book with the title of The Mistery of the Ivory Charm published printed on the front in blue font,Liturature;books;mystery,"Advance, North Carolina",46.725562,-116.25514,Collins home,WL_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,https://clockforaheart.github.io/pictures/es.JPG,Elementary Spellingbook,unknown,1908,blue book with red spine with the title the Elementary Spelling Book,Liturature;books;school,"Advance, North Carolina",45.128427,-115.322963,Collins home,SB_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,https://clockforaheart.github.io/pictures/elr.JPG,East Lynne,"Wood, Mrs. Henry",1900,reddish book with the title East Lynne hidden from view,Liturature;books;fiction,"Advance, North Carolina",47.650864,-116.08913,Collins home,EL_9_13_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,https://clockforaheart.github.io/pictures/cl.JPG,Child-Library Readers Book 3,"Elson, Willaim H",1929,"brownish green book with Child-Library Reader Book THree on the front along with image and ""Elson Extentsion series",Liturature;books;school,"Advance, North Carolina",43.53814,-116.808364,Collins home,CR_9_13_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,https://clockforaheart.github.io/pictures/uw.JPG,Uncle Wiggily and the Turkey Gobbler,"Garis, Howard R",1927,Green children's book with the title Uncle Wiggily and the Turkey Gobbler by Howard R. Garis and a depiction of a anthropromorphic rabbit and turkey being chased by a cat,Liturature;books;children,"Advance, North Carolina",45.527864,-116.302951,Collins home,UW_9_13_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,https://clockforaheart.github.io/pictures/rs.JPG,Refresher Speller,"Chew, Thomas O",1950,blueish green book with the words Refresher Speller Chew and the illustrated of a woman and a young girl and boy,Liturature;books;school,"Advance, North Carolina",44.761292,-114.810301,Collins home,RS_9_13_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,https://clockforaheart.github.io/pictures/aw.JPG,Alice in Wonderland,"Carroll, Lewis",1900,Blue book with red block with the words Alice in Wonderland Carroll on the front,Liturature;books;children,"Advance, North Carolina",46.088404,-115.518644,Collins home,AW_9_13_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,https://clockforaheart.github.io/pictures/elg.JPG,East Lynne 2,"Wood, Mrs. Henry",1900,green book with the title East Lynne hidden from view,Liturature;books;fiction,"Advance, North Carolina",45.066779,-114.555243,Collins home,EL_10_13_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,https://clockforaheart.github.io/pictures/pw.JPG,Peter and Wendy,"Barrie, JM",1911,"gray book with the words Peter and Wendy J.M. Barrie with the illustrastion of a young child playing an instrument on top, a mermaid on the left and right, and a crocodile at the bottom.",Liturature;books;children,"Advance, North Carolina",46.492008,-114.363683,Collins home,PW_9_13_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,https://clockforaheart.github.io/pictures/ag.JPG,Advanced Geography,Dodge-Lackey,1932,"green book with the words Advanced Geography, Dodge-Lackey, and Rand McNally & Company on the front  ",Liturature;books;school,"Advance, North Carolina",46.492008,-114.363683,Collins home,AG_9_13_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
